Year: 2020
Numbers		Earnings		
0-0-0       $315	
0-0-1       $405	
0-0-2       $420	
0-0-3       $495	
0-1-3       $495	
0-1-8       $495	
0-1-9       $510	
0-2-0       $510	
0-2-1       $630	
0-2-3       $705	
0-2-9       $750	
0-3-0       $855	
0-3-1       $870	
0-3-2       $930	
0-3-7       $1020	
1-8-2       $1020	
2-9-0       $1125	
2-9-1       $1125	
2-9-6       $1140	
